GROUP,1_RA_FMT,2_RA_FMT,3_RA_FMT,4_RA_FMT,5_RA_FMT,1_IH_FMT,2_IH_FMT,3_IH_FMT,4_IH_FMT,5_IH_FMT,1_RA_FMT_PRO,2_RA_FMT_PRO,3_RA_FMT_PRO,4_RA_FMT_PRO,5_RA_FMT_PRO,1_IH_FMT_PRO,2_IH_FMT_PRO,3_IH_FMT_PRO,4_IH_FMT_PRO,5_IH_FMT_PRO
49542b70535b5b25483a9220abd05093,32,11,76,0,71,15,0,0,13,17,20,0,2,0,0,0,0,0,0,0
61471d90c2adb4e8e6fee7eecdd9ca8d,11,0,16,0,0,2,0,7,39,13,11,0,9,27,0,32,48,11,19,0
f479c23321346918723839e33a3544f4,13,13,9,0,0,19,33,13,10,4,16,61,4,3,16,7,4,0,0,7
071adc1f6119b36a43480ff85d58b23a,13,10,0,0,0,5,6,0,3,0,0,7,5,15,31,43,61,13,11,16
04e96f8e3e9a8aaea0cf71feba8b0e16,0,0,0,0,0,8,11,12,0,0,28,52,30,12,46,4,13,0,14,15
ce54b572b93affd7afe291853b517e21,0,19,0,0,0,18,32,0,0,0,0,0,0,0,17,35,0,37,60,23
de6d4db1f82eeba7ec07206846619c2c,19,45,8,0,4,8,29,0,0,0,10,18,0,5,11,11,27,19,5,16
d9374dca5cde3bdf56ac82fa527976be,7,0,0,0,0,2,0,0,0,0,16,0,7,6,21,67,86,10,14,7
a927fa934cf9d977992764c4dcba0b7d,0,0,0,0,0,156,15,0,0,18,0,0,0,0,0,0,24,0,0,0
46106f5c1a2dda999551e9675cd3568d,16,0,0,0,28,48,38,90,0,5,35,0,0,0,0,0,0,0,0,0
23176b0d224a85cab9385a426000544f,53,36,10,0,0,2,0,0,6,0,14,4,46,26,20,0,7,8,4,10
5f8d35126b0a7321413d21487ec72b73,0,0,0,0,6,0,10,0,2,1,9,11,2,2,7,31,0,47,62,35
df1e3080300aed496c300246714bd838,0,0,0,7,13,22,0,10,28,11,0,0,0,0,39,25,37,28,0,16
dc6ae08657c6ddc998f5ae806ab8934f,6,6,4,0,85,5,0,0,0,2,5,6,17,7,15,6,22,12,14,5
